id	cat	testId	dssim
2990286	3d	d1.jxl	0.00014687
2990286	3d	d2.jxl	0.00032813
2990286	3d	g85.jp2	0.00059473
2990286	3d	ht.jxl	0.00006155
2990286	3d	jph	0.15156880
2990286	3d	jph.ppm	0.00007075
2990286	3d	nl.webp	0.00007033
2990286	3d	o85.jp2	0.00064523
2990286	3d	p56.webp	0.00039784
2990286	3d	q92.webp	0.00057063
2990286	3d	q95.webp	0.00048203
2990286	3d	q99.webp	0.00039997
2990286	3d	snl.jxl	0.00005443
3386129	3d	d1.jxl	0.00032782
3386129	3d	d2.jxl	0.00091019
3386129	3d	g85.jp2	0.00014183
3386129	3d	ht.jxl	0.00006985
3386129	3d	jph	0.52731868
3386129	3d	jph.ppm	0.00005335
3386129	3d	nl.webp	0.00012291
3386129	3d	o85.jp2	0.00029582
3386129	3d	p56.webp	0.00032636
3386129	3d	q92.webp	0.00064462
3386129	3d	q95.webp	0.00045669
3386129	3d	q99.webp	0.00031945
3386129	3d	snl.jxl	0.00010526
2857265	cels	d1.jxl	0.00017321
2857265	cels	d2.jxl	0.00046836
2857265	cels	g85.jp2	0.00013957
2857265	cels	ht.jxl	0.00006615
2857265	cels	jph	0.48068224
2857265	cels	jph.ppm	0.00005388
2857265	cels	nl.webp	0.00008140
2857265	cels	o85.jp2	0.00024298
2857265	cels	p56.webp	0.00036583
2857265	cels	q92.webp	0.00064324
2857265	cels	q95.webp	0.00049247
2857265	cels	q99.webp	0.00036313
2857265	cels	snl.jxl	0.00005716
3402125	cels	d1.jxl	0.00023170
3402125	cels	d2.jxl	0.00080462
3402125	cels	g85.jp2	0.00012155
3402125	cels	ht.jxl	0.00008435
3402125	cels	jph	0.55313330
3402125	cels	jph.ppm	0.00004565
3402125	cels	nl.webp	0.00010555
3402125	cels	o85.jp2	0.00021345
3402125	cels	p56.webp	0.00029318
3402125	cels	q92.webp	0.00069168
3402125	cels	q95.webp	0.00044063
3402125	cels	q99.webp	0.00029242
3402125	cels	snl.jxl	0.00008524
3060415	cshd	d1.jxl	0.00028993
3060415	cshd	d2.jxl	0.00074743
3060415	cshd	g85.jp2	0.00050378
3060415	cshd	ht.jxl	0.00006975
3060415	cshd	jph	0.17497175
3060415	cshd	jph.ppm	0.00005518
3060415	cshd	nl.webp	0.00010263
3060415	cshd	o85.jp2	0.00064952
3060415	cshd	p56.webp	0.00040724
3060415	cshd	q92.webp	0.00075234
3060415	cshd	q95.webp	0.00056504
3060415	cshd	q99.webp	0.00042163
3060415	cshd	snl.jxl	0.00006557
3213053	cshd	d1.jxl	0.00011389
3213053	cshd	d2.jxl	0.00022424
3213053	cshd	g85.jp2	0.00087305
3213053	cshd	ht.jxl	0.00005337
3213053	cshd	jph	0.12377594
3213053	cshd	jph.ppm	0.00004670
3213053	cshd	nl.webp	0.00002444
3213053	cshd	o85.jp2	0.00151189
3213053	cshd	p56.webp	0.00063158
3213053	cshd	q92.webp	0.00064935
3213053	cshd	q95.webp	0.00063937
3213053	cshd	q99.webp	0.00047429
3213053	cshd	snl.jxl	0.00004256
2877671	flat	d1.jxl	0.00016372
2877671	flat	d2.jxl	0.00038522
2877671	flat	g85.jp2	0.00027971
2877671	flat	ht.jxl	0.00006536
2877671	flat	jph	0.27703392
2877671	flat	jph.ppm	0.00005376
2877671	flat	nl.webp	0.00003574
2877671	flat	o85.jp2	0.00059712
2877671	flat	p56.webp	0.00047225
2877671	flat	q92.webp	0.00062967
2877671	flat	q95.webp	0.00054194
2877671	flat	q99.webp	0.00041848
2877671	flat	snl.jxl	0.00005534
3115030	flat	d1.jxl	0.00008811
3115030	flat	d2.jxl	0.00016745
3115030	flat	g85.jp2	0.00029973
3115030	flat	ht.jxl	0.00005252
3115030	flat	jph	0.19322700
3115030	flat	jph.ppm	0.00003626
3115030	flat	nl.webp	0.00001323
3115030	flat	o85.jp2	0.00059969
3115030	flat	p56.webp	0.00040639
3115030	flat	q92.webp	0.00040555
3115030	flat	q95.webp	0.00039241
3115030	flat	q99.webp	0.00031653
3115030	flat	snl.jxl	0.00004340
3320429	g4sa	d1.jxl	0.00007824
3320429	g4sa	d2.jxl	0.00021487
3320429	g4sa	g85.jp2	0.00015193
3320429	g4sa	ht.jxl	0.00004498
3320429	g4sa	jph	0.28528429
3320429	g4sa	jph.ppm	0.00001387
3320429	g4sa	nl.webp	0.00001982
3320429	g4sa	o85.jp2	0.00036897
